N_value,P_value,K_value,Fertilizer
2.24,         8.00,         0.23,         30
1.10,         1.00,         0.23,         80
1.30,         6.00,         0.27,         45
1.36,         9.00,         0.18,         60
1.14,         9.00,         0.17,         60
1.12,         9.00,         0.18,         60
2.37,         3.00,         0.14,         50
2.01,         7.00,         0.23,         40
1.61,         0.00,         0.21,         80
2.33,         2.00,         0.22,         50
2.15,         5.00,         0.28,         40
2.36,         8.00,         0.28,         30
1.35,         6.00,         0.29,         45
1.47,         8.00,         0.27,         35
1.69,         9.00,         0.13,         60
1.80,         3.00,         0.26,         35
1.56,         7.00,         0.20,         80
2.36,         3.00,         0.26,         40
1.45,         2.00,         0.26,         80
2.29,         4.00,         0.15,         50
1.72,         4.00,         0.15,         80
1.91,         2.00,         0.19,         90
1.51,         1.00,         0.20,         90
1.14,         9.00,         0.26,         35
1.96,         5.00,         0.14,         80
2.18,         7.00,         0.23,         40
1.25,         5.00,         0.26,         45
1.84,         9.00,         0.17,         60
1.62,         6.00,         0.21,         80
1.49,         8.00,         0.27,         35
2.02,         5.00,         0.13,         80
1.28,         3.00,         0.18,         80
1.14,         1.00,         0.26,         80
2.27,         0.00,         0.23,         50
2.21,         6.00,         0.28,         40
1.30,         0.00,         0.25,         80
2.22,         7.00,         0.18,         50
1.16,         8.00,         0.25,         35
2.00,         8.00,         0.27,         35
2.32,         4.00,         0.15,         50
1.73,         7.00,         0.29,         45
1.66,         8.00,         0.26,         35
1.66,         2.00,         0.22,         80
1.27,         3.00,         0.18,         90
2.39,         3.00,         0.16,         50
1.23,         6.00,         0.29,         45
1.86,         3.00,         0.19,         80
1.61,         0.00,         0.28,         80
1.78,         8.00,         0.27,         35
2.02,         0.00,         0.29,         80
2.27,         7.00,         0.29,         40
1.47,         1.00,         0.19,         90
1.90,         1.00,         0.20,         90
1.23,         8.00,         0.25,         35
2.37,         6.00,         0.27,         40
1.19,         7.00,         0.29,         45
1.69,         9.00,         0.19,         60
2.38,         3.00,         0.13,         50
1.43,         7.00,         0.27,         45
1.79,         7.00,         0.17,         80
1.73,         3.00,         0.12,         80
1.14,         5.00,         0.14,         80
2.04,         9.00,         0.19,         60
1.14,         5.00,         0.13,         80
1.77,         8.00,         0.28,         35
2.40,         7.00,         0.28,         40
1.36,         6.00,         0.29,         45
1.89,         7.00,         0.13,         80
2.01,         1.00,         0.26,         80
2.20,         4.00,         0.19,         50
1.39,         3.00,         0.20,         80
1.82,         9.00,         0.19,         60
1.37,         1.00,         0.12,         90
1.65,         5.00,         0.19,         80
1.88,         4.00,         0.23,         45
2.31,         0.00,         0.20,         50
1.60,         7.00,         0.16,         80
1.75,         8.00,         0.23,         35
1.28,         1.00,         0.25,         80
1.58,         3.00,         0.12,         90
1.31,         7.00,         0.27,         45
1.63,         1.00,         0.23,         80
1.58,         6.00,         0.18,         80
1.54,         3.00,         0.12,         80
2.07,         5.00,         0.29,         45
1.62,         4.00,         0.18,         80
2.20,         9.00,         0.29,         30
1.44,         7.00,         0.13,         80
1.17,         4.00,         0.18,         80
2.31,         5.00,         0.19,         50
1.58,         3.00,         0.29,         45
1.67,         3.00,         0.18,         80
1.98,         7.00,         0.12,         80
1.46,         7.00,         0.22,         45
1.88,         1.00,         0.22,         80
1.54,         5.00,         0.30,         45
1.97,         0.00,         0.21,         80
1.74,         4.00,         0.15,         80
0.71,         13.00,         0.29,         60
0.73,         15.00,         0.22,         60
0.95,         14.00,         0.28,         60
0.52,         10.00,         0.28,         60
0.48,         10.00,         0.25,         110
0.48,         14.00,         0.12,         110
0.56,         17.00,         0.29,         60
0.70,         18.00,         0.27,         60
0.94,         19.00,         0.16,         110
0.57,         17.00,         0.18,         110
0.73,         11.00,         0.23,         60
0.79,         17.00,         0.13,         110
0.82,         17.00,         0.22,         60
0.65,         19.00,         0.21,         60
0.96,         19.00,         0.21,         60
0.78,         18.00,         0.21,         60
0.40,         13.00,         0.23,         110
0.35,         15.00,         0.16,         110
0.37,         10.00,         0.12,         110
0.92,         11.00,         0.24,         60
0.83,         11.00,         0.28,         60
0.86,         19.00,         0.17,         110
0.60,         14.00,         0.15,         110
0.79,         18.00,         0.28,         60
0.58,         15.00,         0.16,         110
0.37,         11.00,         0.25,         110
0.53,         15.00,         0.28,         60
0.52,         13.00,         0.20,         110
0.94,         19.00,         0.14,         110
0.91,         19.00,         0.19,         110
0.58,         10.00,         0.26,         60
0.61,         14.00,         0.29,         60
0.65,         11.00,         0.28,         60
0.75,         18.00,         0.12,         110
0.79,         17.00,         0.28,         60
0.65,         16.00,         0.14,         110
0.46,         17.00,         0.22,         110
0.70,         16.00,         0.18,         110
0.35,         16.00,         0.28,         110
0.33,         12.00,         0.26,         110
0.92,         14.00,         0.22,         60
0.83,         11.00,         0.29,         60
0.89,         14.00,         0.27,         60
0.65,         11.00,         0.14,         110
0.94,         10.00,         0.23,         60
